cid,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
7010045,70,7004,1,中度脾源石斑片浸润,0.6,0.065,左上腹轻度隆起，叩诊浊音区略向下延伸,最近会明显感觉左侧肋下有压痛，久站或弯腰时更明显，偶尔伴有低热和夜间出汗,只是说“左边肋骨里面老是闷闷的痛”，有时形容成胃痛，有时觉得像肌肉酸痛,腹部增强 CT,影像见脾实质内多发斑片状高密度影，与周围实质界限欠清，考虑源石结晶浸润,脾实质密度均匀，未见斑片状异常或明显占位,本次 CT 未能直接证实本次斑片浸润，但在同一脾区可见轻度密度改变，提示该部位存在其他轻症级别结构病变,本次 CT 未能直接证实本次斑片浸润，却发现脾内存在中度结节或片状病灶，提示同部位合并中症级别浸润病变,本次 CT 未能直接证实本次斑片浸润，却显示脾实质结构已严重破坏并形成大片异常区，说明该部位可能合并重症级别破裂风险,住院评估 + 针对源石浸润的抑制治疗 + 必要时介入预处理,0
7010046,70,7004,2,重度脾源石性破裂高危,1.0,0.11,左上腹明显隆起，皮肤下可见瘀斑样改变，轻触即显痛苦表情,现在左上腹持续剧痛，一走路或深呼吸就像被刀割一样，伴有头晕、心慌和出冷汗，稍微用力就担心里面要“裂开”,只能抱着左侧腹部蜷缩着喊痛，说整片肋下都像要炸开，根本说不清具体位置,急诊腹部 CT + 彩超,影像提示脾脏被大片源石结晶和坏死组织取代，包膜张力极度增大并伴裂隙样低密度影，腹腔可见少量积血信号,脾脏轮廓尚完整，无明显包膜下血肿或液体征象,本次影像未能直接证实本次破裂高危，但仍提示脾表面有轻度结构异常，说明该部位存在其他轻症级别病变,本次影像未能直接证实本次破裂高危，却发现脾包膜及实质已有中度异常，提示同部位合并中症级别出血风险,本次影像未能直接证实本次破裂高危，却显示脾包膜多处撕裂伴大量异常信号，说明该部位存在重症级别破裂风险需立即处理,紧急补液与交叉备血后行紧急脾切除/部分切除手术 + 术后感染与免疫功能严密监护,1
7010051,70,7005,0,轻度外周淋巴结反应性肿大,0.35,0.03,颈侧或腋下可触及米粒大小淋巴结，外观无明显隆起,最近洗澡时摸到脖子和腋下有几颗小疙瘩，按起来有点酸，但平时不怎么注意得到,只是说“感觉哪里都长小疙瘩”，一会儿说是皮肤问题，一会儿又说像是胖了,淋巴结超声,超声提示浅表淋巴结稍大，形态规则，皮质略增厚，门结构清晰,浅表淋巴结大小和形态均在常规范围内，未见明显肿大或结构改变,本次超声未能直接证实本次反应性肿大，但提示局部仍有轻度结构异常，说明该部位存在其他轻症级别淋巴改变,本次超声未能直接证实本次反应性肿大，却发现部分淋巴结存在中度形态异常，提示同部位合并中症级别炎性或占位性病变,本次超声未能直接证实本次反应性肿大，却显示淋巴结呈重度结构紊乱，说明该部位可能合并重症级别恶性病变,门诊随访 + 控制上游感染灶 + 必要时短期消炎,0
7010052,70,7005,0,轻度外周淋巴源石点状沉积,0.35,0.03,浅表皮肤外观基本正常，局部触感略微粗糙,定期体检时医生说淋巴结里有一点点源石影，自己只是偶尔觉得按压颈侧或腹股沟会有轻微刺痛,只是说“皮下总像藏着小石头”，位置说得比较含糊，时而指颈侧时而指大腿根,浅表淋巴结高频超声,超声显示部分淋巴结内部可见点状高回声灶，门结构尚清晰，周围组织未明显受侵,淋巴结结构均匀，内部未见高回声灶或占位表现,本次高频超声未能直接证实本次点状沉积，但仍提示局部有轻度回声异常，说明该部位存在其他轻症级别结构改变,本次高频超声未能直接证实本次点状沉积，却发现部分淋巴结已有中度回声异常与门结构紊乱，提示同部位合并中症级别浸润性病变,本次高频超声未能直接证实本次点状沉积，却显示淋巴结结构高度破坏并与周缘组织粘连，说明该部位可能合并重症级别恶性浸润,门诊定期随访 + 源石负荷管理 + 必要时局部理疗,0
7010053,70,7005,0,轻度外周淋巴循环淤滞,0.3,0.03,上肢或下肢远端偶见轻度肿胀，静息时难以肉眼察觉,最近下班回到宿舍会觉得小腿和脚背有点胀，脱下靴子后皮肤会留一点勒痕，早上起来就好很多,只是说“腿脚晚上总像泡过水一样”，有时又觉得是单纯站太久,肢体周径测量 + 多普勒血流评估,检查提示受累肢体周径轻度增加，浅表静脉及淋巴流速略减慢,肢体周径和血流参数在常规范围内，未见明显淤滞或回流受阻,本次评估未能直接证实本次循环淤滞，但提示局部有轻度流速异常，说明该部位存在其他轻症级别循环问题,本次评估未能直接证实本次循环淤滞，却发现外周回流已有中度受阻，提示同部位合并中症级别淋巴/静脉病变,本次评估未能直接证实本次循环淤滞，却显示肢体存在重度回流障碍与组织水肿，说明该部位可能合并重症级别淋巴功能衰竭,弹力绷带与肢体抬高训练 + 温和活动指导,0
7010054,70,7005,1,中度外周淋巴结源石浸润,0.6,0.065,颈侧、腋窝或腹股沟可见多发隆起结节，皮肤略紧绷,这段时间明显感觉颈侧和腋下有成串硬块，抬手或转头时会牵扯疼，偶尔还会有低热盗汗,只说“整条脖子两侧都是疙瘩”，有时形容像挂了一串石头，难以分清哪一颗最痛,浅表淋巴结超声 + 必要时穿刺前评估,超声提示多发肿大淋巴结，内部回声不均，部分可见结晶高回声，血流分布异常,浅表淋巴结大小与结构未见明显异常，门区与皮质界限清晰,本次检查未能直接证实本次源石浸润，但在同一链路中仍可见轻度结构异常，说明该部位存在其他轻症级别淋巴病变,本次检查未能直接证实本次源石浸润，却发现部分淋巴结已有中度结构紊乱，提示同部位合并中症级别浸润或占位,本次检查未能直接证实本次源石浸润，却显示淋巴结内外结构高度破坏并与周围组织粘连，说明该部位可能合并重症级别恶性病灶,住院评估 + 源石抑制类药物 + 必要时计划性活检,0
7010055,70,7005,1,中度外周淋巴感染性肿大,0.6,0.065,局部皮肤稍发红，触诊肿大的淋巴结有中度压痛,最近颈侧或腋下的几个疙瘩越来越痛，抬手洗头或转头时都会牵扯，晚上还会出现低烧和乏力,只说“腋下和脖子像被人揪着”，一会儿说像扭到筋，一会儿又说是皮肤长包,淋巴结超声 + 炎症指标检测,超声见肿大淋巴结轮廓尚清但内回声混杂，周围软组织轻度水肿，炎症指标中度升高,淋巴结体积和结构在可接受范围内，炎症指标正常或仅轻微波动,本次检查未能直接证实本次感染性肿大，但提示局部仍有轻度炎症征象，说明该部位存在其他轻症级别淋巴反应,本次检查未能直接证实本次感染性肿大，却发现部分淋巴结已有中度结构破坏，提示同部位合并中症级别化脓或浸润性病变,本次检查未能直接证实本次感染性肿大，却显示区域淋巴结构呈重度破坏并伴软组织脓肿，说明该部位可能合并重症级别败血风险,抗感染治疗 + 局部理疗与护肤 + 必要时小切口引流预备,0
7010056,70,7005,2,重度外周淋巴结源石性融合块,1.0,0.11,颈侧或腋窝可见大片隆起硬块，皮肤紧绷发红，部分区皮温升高,现在整片颈侧或腋下都肿成一大块，抬手或转头都会牵扯出撕裂样剧痛，晚上还会发烧出汗，人明显消瘦,只会用手捂着整片肿块说“这一整片都要裂开了”，分不清是哪一点最疼,增强 CT + 术前导航超声,影像显示多发外周淋巴结被源石晶体和坏死组织融合成团块，包绕血管神经束，局部皮肤受侵,影像未见大片融合块或严重结晶，浅表淋巴链结构尚可辨认,本次影像未能直接证实本次融合块，但仍提示该区域有轻度结构异常，说明该部位存在其他轻症级别淋巴病变,本次影像未能直接证实本次融合块，却发现局部已有中度团块和粘连，提示同部位合并中症级别浸润病灶,本次影像未能直接证实本次融合块，却显示大片融合团块包绕重要结构，说明该部位存在重症级别恶性或破坏性病变需立即处理,全麻下沿解剖间隙切除淋巴结源石融合块 + 术前感染控制与血管神经评估 + 术后引流与功能康复,1
7010061,70,7006,0,轻度胸腺残余功能紊乱,0.35,0.03,胸前区体表无可见异常，皮肤颜色正常,最近感冒后的咳嗽总是拖很久才好，稍微劳累就容易有一点低热，但总体还能正常上学或工作,只是说“感觉抵抗力变差”，一会儿觉得是熬夜的问题，一会儿又觉得是换季,免疫球蛋白水平 + 淋巴细胞亚群分析,检测显示部分 T 细胞亚群比例轻度异常，总体免疫球蛋白水平在低正常值附近,免疫球蛋白和淋巴细胞亚群分布在常规参考范围内,本次检测未能直接证实本次胸腺功能紊乱，但提示免疫轴存在轻度异常，说明该部位仍有其他轻症级别免疫改变,本次检测未能直接证实本次胸腺功能紊乱，却发现免疫轴已有中度偏移，提示同部位合并中症级别免疫失衡,本次检测未能直接证实本次胸腺功能紊乱，却显示免疫轴接近崩溃模式，说明该部位可能合并重症级别免疫缺陷,门诊随访 + 营养与作息干预 + 必要时小剂量免疫调节药物,0
7010062,70,7006,0,轻度胸腺源石点状沉积,0.35,0.03,胸前轮廓正常，体表难以察觉异常,例行检查时影像发现前纵隔有细小高密度影，自己只是偶尔觉得胸口有轻微闷胀，无明显疼痛,只是说“胸口总有点堵”，有时归咎于压力大，有时觉得是单纯姿势问题,胸部 CT,CT 提示前纵隔胸腺残余区内可见点状源石样高密度灶，未形成占位,前纵隔影像清晰，无异常高密度灶或结节影,本次 CT 未能直接证实本次点状沉积，但仍提示局部有轻度密度变化，说明该部位存在其他轻症级别结构异常,本次 CT 未能直接证实本次点状沉积，却发现胸腺区已有中度结节或条索状影，提示同部位合并中症级别占位病变,本次 CT 未能直接证实本次点状沉积，却显示胸腺区结构高度紊乱，说明该部位可能合并重症级别破坏性病灶,门诊定期影像复查 + 源石负荷管理,0
7010063,70,7006,0,轻度胸腺相关自身免疫波动,0.3,0.03,体表无可见异常，偶见轻度乏力面容,最近总觉得稍微活动一会儿就四肢乏力，抬手时间长一点就会酸软，休息后能缓解，吃饭咀嚼时偶尔也会有点累,只是说“感觉全身肌肉都偷懒”，有时认为是单纯体能下降,自身抗体谱 + 神经肌肉传导检查,部分自身抗体滴度轻度升高，神经肌肉传导速度接近下限但尚未明显受损,自身抗体滴度阴性或极低，神经肌肉传导检查在正常范围内,本次检查未能直接证实本次自身免疫波动，但提示免疫活性有轻度增强，说明该部位存在其他轻症级别免疫异常,本次检查未能直接证实本次自身免疫波动，却发现免疫活性已有中度异常，提示同部位合并中症级别自身免疫病变,本次检查未能直接证实本次自身免疫波动，却显示免疫攻击指标已达重度阈值，说明该部位可能合并重症级别自身免疫危象,门诊低剂量免疫调节药物 + 规律复查,0
7010064,70,7006,1,中度胸腺源石性占位,0.6,0.065,胸前轻度隆起不对称，平躺时可见胸廓起伏轻微不均,最近总觉得胸口中上部发闷，爬楼梯时会有压迫感，有时还会牵扯到背部，偶尔伴干咳,只是说“胸前好像塞了块硬板”，一会儿指胸骨上方，一会儿又指两侧肋缘,胸部增强 CT,影像显示胸腺区有中等大小结晶性占位，边界尚清，轻度压迫相邻肺组织和大血管,前纵隔结构清晰，未见明显占位或结晶性影像,本次增强 CT 未能直接证实本次占位，但在同一部位可见轻度密度改变，提示该部位存在其他轻症级别结构病变,本次增强 CT 未能直接证实本次占位，却发现胸腺区已有中度块状影并压迫周围结构，提示同部位合并中症级别浸润性病变,本次增强 CT 未能直接证实本次占位，却显示占位体积和压迫程度接近危及重要结构，说明该部位可能合并重症级别纵隔综合征,住院评估 + 源石抑制与免疫调节方案 + 计划性手术前准备,0
7010065,70,7006,1,中度胸腺相关免疫失衡,0.6,0.065,体表外观略显消瘦，胸廓无明显畸形,这段时间反复出现不明原因的低热、皮疹和轻微关节痛，常常一个部位刚好另一个部位又开始不适,只是说“最近老是在生小病”，从皮肤到关节到肠胃都轮流出问题,免疫谱筛查 + 胸部影像,多项自身抗体滴度中度升高，部分 T 细胞亚群比例异常，胸部影像提示胸腺残余略大,免疫学指标接近常规范围，胸腺区未见明显肥大或结构异常,本次筛查未能直接证实本次免疫失衡，但提示免疫轴仍有轻度异常，说明该部位存在其他轻症级别免疫改变,本次筛查未能直接证实本次免疫失衡，却发现免疫轴已有中度紊乱，提示同部位合并中症级别系统性免疫病变,本次筛查未能直接证实本次免疫失衡，却显示免疫活性接近暴走状态，说明该部位可能合并重症级别免疫危象,中剂量免疫抑制剂/调节剂方案 + 住院短期监护,0
7010066,70,7006,2,重度胸腺源石性压迫综合征,1.0,0.11,胸前明显隆起，静息时可见呼吸费力，锁骨上窝轻度塌陷,现在平躺时会严重喘不上气，稍微说几句话就胸口像被重物压住，还会伴随咳嗽和声音嘶哑,只能半坐着用手撑着胸口，断断续续说“胸前整块都压塌了”，具体痛点已难以区分,胸部增强 CT + 术前三维重建,影像显示巨大源石性胸腺肿块充满前纵隔，明显压迫气管和大血管，心脏受推移位，局部出现坏死区,前纵隔轮廓尚可，未见巨大肿块或重要结构明显受压,本次检查未能直接证实本次压迫综合征，但仍提示胸腺区有轻度结构异常，说明该部位存在其他轻症级别胸前占位,本次检查未能直接证实本次压迫综合征，却发现前纵隔已有中度占位与压迫表现，提示同部位合并中症级别纵隔病变,本次检查未能直接证实本次压迫综合征，却显示巨大肿块包绕并压迫多条大血管和气管，说明该部位存在重症级别危及呼吸循环的病变,全麻下前纵隔开胸/胸腔镜辅助胸腺源石肿块切除 + 术前气道与循环评估 + 术后重症监护,1
8018001,80,8001,0,轻度头皮源石性皮疹,0.34,0.032,头皮整体外观基本正常，偶见零星细小红点，肉眼难以分辨结晶,这段时间头皮有点发紧、偶尔会有一块一块轻微发痒，主要集中在后枕部和太阳穴附近，仔细摸能感觉到一点点粗糙,就觉得整个头皮老是不太舒服，有时候痒有时候涨，说不清是哪一块，总感觉像戴了顶有点扎的帽子,头皮视诊 + 皮肤镜检查,皮肤镜下可见稀疏细小源石结晶点及轻度毛囊周围炎症，提示轻度头皮源石性皮疹,头皮皮肤纹理与毛囊开口清晰，无结晶反光及炎症征象，与轻度头皮源石性病变不符,本次视诊与皮肤镜未能直接证实本次头皮皮疹，但在局部仍可见轻度毛囊口角化及微小结晶点，提示同部位存在其他轻症级别的头皮病变,本次视诊与皮肤镜未能直接证实本次头皮皮疹，却发现局灶毛囊周围炎及斑片状鳞屑，提示同部位合并中症级别的炎性病变,本次视诊与皮肤镜未能直接证实本次头皮皮疹，却提示头皮大片结晶斑块和明显渗出，说明同部位已存在重症级别的源石性皮肤破坏,温和去屑洗剂 + 局部激素类软膏短期点涂 + 监测结晶变化,0
8018002,80,8001,0,轻度头皮神经迟钝,0.33,0.03,头皮表面无可见异常，触摸时患者反应略慢,最近洗头或者梳头的时候，总觉得有几块地方触感有点迟钝，好像别人用力抓了我一下我才反应过来，位置大概在头顶和后脑勺,就觉得头皮整片麻麻的，有时候抓了半天才觉得“哦是在挠头”，也说不清是哪一块先开始的,针刺触觉定量测试,针刺及棉球触觉阈值在顶枕部轻度升高，提示头皮浅表神经传导轻度受损,头皮针刺、触觉阈值均在正常范围内，未见浅表神经功能异常,本次触觉定量测试未能直接证实本次神经迟钝，但在局灶区域仍可见轻度阈值波动，提示该部位存在其他轻症级别神经感觉异常,本次触觉定量测试未能直接证实本次神经迟钝，却显示部分区域阈值中度升高，说明同部位合并中症级别的感觉传导障碍,本次触觉定量测试未能直接证实本次神经迟钝，却提示头皮大片区域触觉几乎消失，提示已存在重症级别的浅表神经损害需警惕,维生素 B 族营养神经 + 物理理疗（低频电刺激头皮）门诊随访,0
8018003,80,8001,0,轻度头皮微结晶渗润,0.33,0.031,头皮局部光泽略增，细看可见零星晶点反光，肉眼难以察觉,最近在灯光下照镜子的时候，觉得发缝附近有一点点不正常的反光，摸起来有点颗粒感，不过不怎么痛，就是偶尔有轻微刺痒,就觉得头顶有点“沙沙”的，像头皮下面埋了点碎砂子，一会儿说是头皮屑，一会儿又觉得像是头发油光太重,头皮放大摄影 + 侧光检查,发缝及枕后区域可见散在针尖样源石微结晶，周围皮肤轻度充血，符合轻度结晶渗润表现,头皮放大下未见异常反光点和结晶轮廓，皮肤颜色均匀，未见渗润改变,本次放大与侧光检查未能直接证实本次微结晶渗润，但在邻近区域仍可见轻度结晶阴影，提示同部位存在其他轻症级别的结晶相关病变,本次放大与侧光检查未能直接证实本次微结晶渗润，却发现局部结晶聚集和中度充血，说明同部位合并中症级别的结晶性皮损,本次放大与侧光检查未能直接证实本次微结晶渗润，却提示头皮大片结晶板块与明显渗出，说明同部位已存在重症级别的结晶性头皮破坏,温和清洁头皮 + 局部抑制源石活性的外用制剂 + 定期复查结晶密度,0
8018101,80,8001,1,中度头皮结晶性斑块,0.5,0.06,头顶部与枕部可见数处淡灰白色隆起斑块，边缘清楚，皮屑轻度脱落,这段时间头顶后面那几块地方总是又紧又痒，照镜子能看到有点一块一块发白，摸上去硬硬的，比周围皮肤高出一点，梳头的时候还会有白屑掉下来,总觉得整个头皮都一块一块硬硬的、发木，有时候说是“整片头皮结壳了”，看不清是哪几块先开始，只觉得一抓就有东西掉,头皮视触诊 + 皮肤镜,皮肤镜下头皮多发板状源石结晶斑伴毛囊口受累，周围可见中度炎症和轻度毛囊萎缩，符合中度结晶性斑块,头皮镜下皮肤纹理规则，仅见零星鳞屑，无板状结晶与炎症征象，不符合中度结晶性斑块表现,当前视触诊与皮肤镜未能直接证实本次结晶性斑块，但仍在局部发现细小结晶点和轻度红斑，提示同部位存在其他轻症级别皮损,当前视触诊与皮肤镜未能直接证实本次结晶性斑块，却发现更深层结节样隆起和较重红斑，提示同部位合并中症级别的其他源石性皮肤病变,当前视触诊与皮肤镜未能直接证实本次结晶性斑块，却提示大片融合性结晶斑和渗出溃烂，说明同部位已存在重症级别头皮破坏性病变,局部中效激素/免疫调节软膏 + 抑制源石活性的外用溶液 + 短期口服抗炎药物门诊随诊,0
8018102,80,8001,1,中度头皮源石性毛囊炎,0.5,0.062,头皮可见散在红色丘疹和小脓疱，部分毛囊口有晶点反光,近一阵子后脑勺和两侧太阳穴靠上的地方总是又刺又痛，梳头一碰就会有针扎一样的感觉，偶尔还能摸到鼓起来的小疙瘩，有的会渗一点透明液体,就觉得整个头皮像被无数小针扎着，一会儿喊是“全是包”，一会儿又说像被风吹得发炎了，哪里先开始的也说不太清,头皮视诊 + 真菌/细菌涂片检查,视诊见弥漫性红色丘疹及小脓疱，镜检可见毛囊周围炎性细胞浸润及源石微结晶附着，符合中度源石性毛囊炎表现,头皮视诊仅见少量散在丘疹，无显著脓疱及结晶附着，涂片细胞学未见异常，不符合中度源石性毛囊炎,本次检查未能直接证实本次源石性毛囊炎，但局部仍可见轻度毛囊口充血和少量炎性细胞，提示该部位存在其他轻症级别炎症,本次检查未能直接证实本次源石性毛囊炎，却发现毛囊周围炎症中度弥散并伴结节形成，说明同部位合并中症级别的其他炎性病变,本次检查未能直接证实本次源石性毛囊炎，却提示头皮大片毛囊破坏及结晶团块，说明同部位已存在重症级别破坏性炎症病灶,抗生素/抗感染外用制剂 + 抑制源石活性的药用洗剂 + 必要时口服抗感染药短期使用,0
8018201,80,8001,2,重度头皮广泛结晶坏死,1.0,0.11,头皮大片灰白色结晶板块覆盖，局部皮肤破溃渗出，伴有脱发斑和明显恶臭,现在头顶这一大片几乎是又硬又疼，连枕着都受不了，梳头的时候整片头发连着皮屑和碎块一起掉下来，碰一下就像火烧一样疼，还会有一点黄水渗出来,只会反复喊“头皮要烂掉了”“整块都要掉下来了”，只知道整圈头顶和后脑勺都痛得受不了，也说不清哪一块最先开始，只觉得再碰一下就会整片脱落,头皮 MRI + 组织活检,影像提示头皮广泛增厚并出现大片高密度源石结晶影，活检见表皮与真皮深层坏死伴结晶团块和大量炎性浸润，符合重度广泛结晶坏死,头皮厚度与信号分布均匀，活检组织结构完整，无大面积坏死与高密度结晶团块，不符合重度广泛结晶坏死,本次 MRI 与活检未能直接证实本次广泛结晶坏死，但可见局部皮下尚存轻度结晶沉积和轻微组织损伤，提示同部位存在其他轻症级别病变,本次 MRI 与活检未能直接证实本次广泛结晶坏死，却发现多个区域有中度组织坏死和结晶聚集，提示同部位合并中症级别的破坏性病灶,本次 MRI 与活检未能直接证实本次广泛结晶坏死，却显示头皮大范围组织断裂、坏死及结晶板块贯穿皮下，说明同部位已存在重症级别危及颅骨和深部结构的病变需立即处理,全麻下坏死头皮与结晶板块清创切除 + 必要时局部皮肤移植重建 + 术前广谱抗感染与抑制源石活性静脉药物准备,1
8028001,80,8002,0,轻度面部源石性红斑,0.34,0.033,面部整体外观接近正常，仅在双颊可见轻微弥漫性潮红，难以肉眼察觉结晶,最近照镜子的时候总觉得脸颊两边有点不自然的发红，出门吹风或者晒会更明显一点，偶尔有点发热和轻微刺痒,就觉得整张脸一会儿红一会儿不红，说不清是不是过敏，只会说“最近脸总是热乎乎的”，也讲不清具体是哪一块最红,面部视诊 + 皮肤镜,皮肤镜下双颊表浅血管轻度扩张，可见星点状源石微结晶散在分布，提示轻度面部源石性红斑,面部皮纹与血管走向正常，皮肤镜下未见异常结晶反光点及持续性红斑，不符合轻度源石性红斑,本次视诊与皮肤镜未能直接证实本次源石性红斑，但在局灶区域仍见轻微毛细血管扩张，提示同部位存在其他轻症级别皮肤反应,本次视诊与皮肤镜未能直接证实本次源石性红斑，却发现局部中度红斑和点片状结晶，说明同部位合并中症级别炎性皮损,本次视诊与皮肤镜未能直接证实本次源石性红斑，却提示面部大范围红斑伴渗出和结晶板块，说明同部位已存在重症级别面部破坏性病变,低敏保湿护理 + 避光 + 局部低效激素或钙调神经磷酸酶抑制剂短期外用,0
8028002,80,8002,0,轻度面部感觉过敏,0.33,0.03,面部皮肤外观无可见异常，轻触时患者主诉轻微刺痒或灼热,最近脸被风一吹或者稍微用水碰一下，就会觉得有点刺刺的或烫烫的，看镜子又看不出什么明显变化，主要集中在两颊和额头,就觉得“脸皮变薄了”，一会儿说吹风就痛，一会儿又说洗脸像被针扎，哪里最明显也说不清，只说“整张脸都怪怪的”,棉球触觉测试 + 温度觉测试,棉球轻触及温度刺激在双颊和额头处阈值略低，患者主诉夸大不适，提示轻度面部感觉过敏,面部触觉与温度觉阈值在正常范围内，刺激不诱发过度不适，不符合轻度感觉过敏表现,本次感觉测试未能直接证实本次面部感觉过敏，但在局部可见轻度阈值波动，提示同部位存在其他轻症级别神经敏感改变,本次感觉测试未能直接证实本次面部感觉过敏，却发现部分区域对刺激反应明显夸张，说明同部位合并中症级别感觉异常或痛觉过敏,本次感觉测试未能直接证实本次面部感觉过敏，却提示面部多区域存在持续自发痛和严重痛觉过敏，说明同部位已存在重症级别神经痛综合征,避免刺激因素 + 局部保护屏障修复剂 + 必要时口服轻度镇静或神经调节药,0
8028003,80,8002,0,轻度面部隐匿性结晶沉着,0.33,0.031,裸眼观察面部皮肤基本光滑，仅在强侧光下可见细微颗粒反光,这段时间觉得鼻翼两侧和颧骨上方摸起来有一点点粗糙，好像擦护肤品的时候会感觉到细细的颗粒，但不怎么痛也不明显发红,就说最近“脸上总觉得有小沙子”，涂东西的时候会卡手，一会儿觉得是角质厚，一会儿又担心是源石结晶，但具体在哪儿却说不清楚,面部放大摄影 + 斜光检查,放大摄影下鼻翼及颧部皮表可见细小针尖样高反光点散在，未见明显红肿，符合轻度隐匿性结晶沉着,面部放大与斜光下未见异常高反光颗粒，皮表光滑，提示未出现可检出的结晶沉着,本次放大检查未能直接证实本次隐匿性结晶沉着，但部分区域仍可见轻度角质堆积，提示同部位存在其他轻症级别非结晶性皮损,本次放大检查未能直接证实本次隐匿性结晶沉着，却发现局灶明显晶点聚集和中度红斑，说明同部位合并中症级别结晶性改变,本次放大检查未能直接证实本次隐匿性结晶沉着，却提示面部大片结晶板块伴表皮破裂，说明同部位已存在重症级别结晶性皮肤破坏,温和角质调理 + 抑制源石活性的外用精华/药膏 + 定期复查皮表结晶密度,0
8028101,80,8002,1,中度面部结晶性斑片,0.5,0.064,双颊和鼻翼周围可见数处扁平灰白色斑片，边缘稍隆起，表面干燥脱屑,最近脸颊两边老是有一块一块发白发干的斑，化妆会卡粉很厉害，近看能看到有点凸起来的斑块，微微发痒，有时候笑大了还会有点拉扯痛,总说“整张脸像戴了面具一样”，一会儿觉得是整片脸干裂，一会儿又说只有两边脸颊和鼻子附近最难受，具体范围经常说得忽大忽小,面部视诊 + 皮肤镜,皮肤镜下面颊及鼻翼可见板状源石结晶沉积，表皮角化增生明显，伴中度炎症细胞浸润，符合中度结晶性斑片,视诊和皮肤镜仅见轻度干燥和细小鳞屑，无典型板状结晶沉积，不符合中度结晶性斑片表现,本次检查未能直接证实本次结晶性斑片，但局部仍有轻微角化及零星结晶点，提示同部位存在其他轻症级别结晶性病变,本次检查未能直接证实本次结晶性斑片，却发现更深层结节样隆起和较大片碎裂结晶，说明同部位合并中症级别的其他源石性皮损,本次检查未能直接证实本次结晶性斑片，却提示面部大面积结晶板块伴皮肤断裂渗血，说明同部位已存在重症级别破坏性病变,局部中效激素/免疫调节药膏 + 抑制源石活性的外用药物 + 避光与皮肤屏障修复联合治疗,0
8028102,80,8002,1,中度面部源石性痛觉过敏,0.5,0.066,面部可见轻度潮红及紧绷表情，轻触时患者明显回避,这段时间脸只要被风吹到或者稍微碰一下，就像被火烫了一样刺痛，特别是颧骨和下颌两侧，说话或大笑时也会牵扯着痛,总抱怨“脸像被撕开了一样”，说整个脸都在烧，一会儿指额头一会儿又指下巴，具体哪边更严重也说不太清楚,痛觉阈值测试 + 冷热刺激试验,痛觉阈值在颧骨和下颌处明显降低，轻微冷/热刺激即可诱发明显疼痛，符合中度面部源石性痛觉过敏,痛觉阈值正常，冷热刺激仅诱发轻度不适，无扩散性疼痛，不符合中度痛觉过敏表现,本次测试未能直接证实本次痛觉过敏，但部分区域仍有轻度阈值改变，提示同部位存在其他轻症级别感觉异常,本次测试未能直接证实本次痛觉过敏，却发现持续性自发痛和广泛阈值降低，说明同部位合并中症级别神经病理性疼痛,本次测试未能直接证实本次痛觉过敏，却提示面部多区域出现持续剧痛及触碰即剧痛，说明同部位已存在重症级别痛觉危象,局部镇痛/神经调节外用贴片 + 口服神经痛调节药物 + 心理干预与放松训练,0
8028201,80,8002,2,重度面部广泛结晶溃烂,1.0,0.112,面部大面积灰白和暗红色结晶斑块交错，部分区域皮肤破裂渗血渗液，外观严重破坏,现在半边脸几乎都肿起来又硬又疼，原来的斑块已经裂开，有的地方流黄水有的地方结成黑痂，稍微动一下表情就会扯得整张脸像撕裂一样痛,只会说“脸已经烂掉了”“不敢照镜子”，只知道从眼眶到下巴这一片都在痛和渗液，具体哪里先开始、怎样发展的已经说不清,面部增强 MRI + 皮肤组织活检,增强 MRI 显示面部皮肤及浅层软组织广泛增厚并被高密度源石结晶片取代，活检示表皮、真皮大面积坏死伴大量结晶团块和破裂血管，符合重度广泛结晶溃烂,影像仅示皮肤厚度略增，活检组织结构基本完整，无大面积坏死或结晶团块，不符合重度广泛结晶溃烂,本次 MRI 与活检未能直接证实本次广泛结晶溃烂，但在边缘区仍可见轻度角化与稀疏结晶沉积，提示同部位存在其他轻症级别病变,本次 MRI 与活检未能直接证实本次广泛结晶溃烂，却发现多处中度组织坏死与结晶聚集，说明同部位合并中症级别破坏性病灶,本次 MRI 与活检未能直接证实本次广泛结晶溃烂，却提示面部深层组织几近被结晶和坏死组织取代，说明同部位已存在重症级别危及功能和外观的病变需即刻处理,全麻下分区清创和结晶板块切除 + 必要时游离或局部皮瓣移植重建面部轮廓 + 术前静脉抑制源石活性药物与广谱抗感染预处理,1
